
pvalue
"";"I_OD";"O_AGRUME"
"(1 | CJ)";0;0
"(1 | ProductName:CJ)";0,4844;1
"ProductName";0;0

fvalue
"";"I_OD";"O_AGRUME"
"(1 | CJ)";32,931;108,683
"(1 | ProductName:CJ)";0,489;0
"ProductName";9,288;8,681
